i,bplus_s,brute_s
494,4.659001206164248e-06,9.33800038183108e-06
495,4.4979988160775974e-06,9.188001058646478e-06
496,3.3160013117594644e-06,8.816999979899265e-06
497,2.8760005079675466e-06,9.33800038183108e-06
498,4.969000656274147e-06,9.277999197365716e-06
499,2.8459999157348648e-06,9.577999662724324e-06
500,2.8760005079675466e-06,9.448000128031708e-06
501,2.6849993446376175e-06,9.707999197416939e-06
502,4.21799995820038e-06,9.65799881669227e-06
503,8.265000360552222e-06,9.878998753265478e-06
504,3.0159990274114534e-06,9.65799881669227e-06
505,2.885999492718838e-06,9.507999493507668e-06
506,3.8569996831938624e-06,9.718000001157634e-06
507,2.6649995561456308e-06,9.649000276112929e-06
508,2.745000529102981e-06,9.578001481713727e-06
509,2.704999133129604e-06,9.457999112783e-06
510,2.6350007829023525e-06,9.467999916523695e-06
511,5.4199990699999034e-06,9.507999493507668e-06
512,3.887998900609091e-06,9.658000635681674e-06
513,2.8750000637955964e-06,9.628000043448992e-06
514,2.734999725362286e-06,9.577999662724324e-06
515,2.585000402177684e-06,9.617999239708297e-06
516,4.15800059272442e-06,9.53800008574035e-06
517,2.7549995138542727e-06,9.637999028200284e-06
518,2.905999281210825e-06,9.557999874232337e-06
519,2.7050009521190077e-06,9.838999176281504e-06
520,2.91600008495152e-06,9.628000043448992e-06
521,2.7050009521190077e-06,9.698000212665647e-06
522,3.6069995985599235e-06,9.838999176281504e-06
523,4.327999704401009e-06,9.727998985908926e-06
524,4.518999048741534e-06,9.879000572254881e-06
525,2.8960002964595333e-06,9.867999324342236e-06
526,2.8649992600549012e-06,9.748999218572862e-06
527,5.8610003179637715e-06,9.738001608639024e-06
528,3.847000698442571e-06,9.769000826054253e-06
529,2.894999852287583e-06,9.769000826054253e-06
530,2.7549995138542727e-06,1.0019000910688192e-05
531,4.468000042834319e-06,9.837998732109554e-06
532,3.176000973326154e-06,9.858000339590944e-06
533,3.1159997888607904e-06,9.937999493558891e-06
534,6.6020002122968435e-06,1.0059000487672165e-05
535,2.925000444520265e-06,1.0079000276164152e-05
536,3.055998604395427e-06,9.959001545212232e-06
537,3.0259998311521485e-06,9.90899934549816e-06
538,4.047000402351841e-06,9.939001756720245e-06
539,4.318999344832264e-06,1.0058998668682761e-05
540,3.225999535061419e-06,1.0269999620504677e-05
541,4.409001121530309e-06,9.969000529963523e-06
542,2.9060011002002284e-06,1.0039000699180178e-05
543,2.5949993869289756e-06,1.0159001249121502e-05
544,4.13799898524303e-06,1.0429999747429974e-05
545,2.9359998734435067e-06,1.0068999472423457e-05
546,4.539000656222925e-06,1.0120000297320075e-05
547,3.385999661986716e-06,9.477998901274987e-06
548,2.8760005079675466e-06,1.0178999218624085e-05
549,2.6849993446376175e-06,1.0370000381954014e-05
550,4.288000127417035e-06,1.0400000974186696e-05
551,4.538000212050974e-06,1.0349000149290077e-05
552,3.1960007618181407e-06,1.0660000043571927e-05
553,3.076000211876817e-06,1.0339001164538786e-05
554,2.85600071947556e-06,1.149200033978559e-05
555,2.7459991542855278e-06,1.225300002261065e-05
556,2.884999048546888e-06,1.1221000022487715e-05
557,4.27799932367634e-06,1.0629999451339245e-05
558,3.998000465799123e-06,1.0450001354911365e-05
559,6.3520001276629046e-06,1.0560001101111993e-05
